리뷰ID,작성일,채널,SKU,상품명,평점,리뷰내용,도움수
RV-0194,2026-06-10,자사몰,TW02,무아레 웨이브 머그,5,플레이팅이 살아나서 자주 써요,3
RV-0215,2026-06-10,자사몰,TW01,무아레 스톤 머그,4,선물했더니 좋아하네요,0
RV-0223,2026-06-10,자사몰,TW03,무아레 스톤 플레이트 2P,5,선물했더니 좋아하네요,1
RV-0234,2026-06-10,네이버 스마트스토어,FR02,무아레 우드세이지 캔들,5,집들이 선물했더니 반응 좋았어요,0
RV-0240,2026-06-10,자사몰,ST02,무아레 그리드 노트,5,선물용으로 딱이에요,0
RV-0255,2026-06-10,네이버 스마트스토어,TW02,무아레 웨이브 머그,5,전자레인지도 되고 실용적이에요,0
RV-0256,2026-06-10,자사몰,FB04,무아레 린넨 앞치마,4,마감이 꼼꼼하네요,2
RV-0316,2026-06-10,네이버 스마트스토어,ST06,무아레 데스크 캘린더,5,가성비 좋아요,2
RV-0394,2026-06-10,자사몰,FR08,무아레 미니 캔들 3종세트,3,기대보단 딱 그 정도예요,1
RV-0420,2026-06-10,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,4,색이 은은해서 어디든 잘 어울려요,1
RV-0430,2026-06-10,네이버 스마트스토어,FR05,무아레 오션브리즈 디퓨저,3,기대보단 딱 그 정도예요,1
RV-0434,2026-06-10,네이버 스마트스토어,TW02,무아레 웨이브 머그,4,묵직하고 질감이 좋아요,5
RV-0500,2026-06-10,자사몰,TW04,무아레 웨이브 플레이트 2P,4,묵직하고 질감이 좋아요,0
RV-0042,2026-06-11,네이버 스마트스토어,TW02,무아레 웨이브 머그,3,그냥 평범해요,0
RV-0078,2026-06-11,자사몰,FB03,무아레 워시드 쿠션커버,4,생각보다 고급스러워요,2
RV-0103,2026-06-11,네이버 스마트스토어,FR01,무아레 화이트무스크 캔들,5,패키지가 고급스러워서 소장각이에요,8
RV-0105,2026-06-11,자사몰,FR04,무아레 화이트무스크 디퓨저,5,발향 밸런스가 딱 좋아요,0
RV-0128,2026-06-11,자사몰,TW05,무아레 스톤 보울,3,무난해요,1
RV-0160,2026-06-11,자사몰,FB02,무아레 린넨 테이블러너,4,색이 은은해서 어디든 잘 어울려요,5
RV-0257,2026-06-11,네이버 스마트스토어,FR05,무아레 오션브리즈 디퓨저,3,무난해요,0
RV-0276,2026-06-11,네이버 스마트스토어,FR06,무아레 리넨 룸스프레이,3,나쁘진 않은데 특별하진 않네요,0
RV-0285,2026-06-11,자사몰,TW04,무아레 웨이브 플레이트 2P,5,묵직하고 질감이 좋아요,2
RV-0426,2026-06-11,자사몰,ST03,무아레 아트 엽서세트,3,그냥 평범해요,1
RV-0445,2026-06-11,자사몰,FB03,무아레 워시드 쿠션커버,5,세탁해도 형태가 잘 유지돼요,1
RV-0450,2026-06-11,네이버 스마트스토어,TW01,무아레 스톤 머그,3,무난해요,0
RV-0477,2026-06-11,자사몰,FR03,무아레 시트러스 캔들,4,발향 밸런스가 딱 좋아요,5
RV-0020,2026-06-12,네이버 스마트스토어,FB04,무아레 린넨 앞치마,5,마감이 꼼꼼하네요,3
RV-0021,2026-06-12,자사몰,TW03,무아레 스톤 플레이트 2P,5,묵직하고 질감이 좋아요,2
RV-0040,2026-06-12,네이버 스마트스토어,ST04,무아레 마스킹테이프 세트,3,그냥 평범해요,5
RV-0087,2026-06-12,자사몰,TW05,무아레 스톤 보울,5,플레이팅이 살아나서 자주 써요,2
RV-0096,2026-06-12,자사몰,FR01,무아레 화이트무스크 캔들,2,가격 대비 조금 아쉬워요,2
RV-0102,2026-06-12,자사몰,TW02,무아레 웨이브 머그,5,선물했더니 좋아하네요,5
RV-0122,2026-06-12,네이버 스마트스토어,ST02,무아레 그리드 노트,3,그냥 평범해요,0
RV-0131,2026-06-12,네이버 스마트스토어,FR07,무아레 디퓨저 리필 200ml,5,집들이 선물했더니 반응 좋았어요,0
RV-0163,2026-06-12,자사몰,FB04,무아레 린넨 앞치마,5,생각보다 고급스러워요,2
RV-0178,2026-06-12,네이버 스마트스토어,TW01,무아레 스톤 머그,3,나쁘진 않은데 특별하진 않네요,0
RV-0189,2026-06-12,네이버 스마트스토어,ST02,무아레 그리드 노트,5,종이질이 좋아서 필기감이 부드러워요,0
RV-0221,2026-06-12,네이버 스마트스토어,FB03,무아레 워시드 쿠션커버,4,도톰하고 촉감이 좋아요,2
RV-0225,2026-06-12,네이버 스마트스토어,TW03,무아레 스톤 플레이트 2P,4,전자레인지도 되고 실용적이에요,1
RV-0243,2026-06-12,네이버 스마트스토어,ST05,무아레 실링스티커,2,색이 화면과 살짝 달라요,0
RV-0248,2026-06-12,자사몰,TW01,무아레 스톤 머그,4,묵직하고 질감이 좋아요,0
RV-0307,2026-06-12,네이버 스마트스토어,TW04,무아레 웨이브 플레이트 2P,5,전자레인지도 되고 실용적이에요,0
RV-0320,2026-06-12,자사몰,TW05,무아레 스톤 보울,1,가격 대비 조금 아쉬워요,0
RV-0380,2026-06-12,네이버 스마트스토어,FB03,무아레 워시드 쿠션커버,4,마감이 꼼꼼하네요,2
RV-0385,2026-06-12,자사몰,FB01,무아레 코튼 블랭킷,5,마감이 꼼꼼하네요,2
RV-0410,2026-06-12,자사몰,TW04,무아레 웨이브 플레이트 2P,5,색감이 사진 그대로예요,3
RV-0421,2026-06-12,네이버 스마트스토어,FB04,무아레 린넨 앞치마,3,가격 생각하면 적당한 것 같아요,0
RV-0444,2026-06-12,네이버 스마트스토어,ST02,무아레 그리드 노트,5,종이질이 좋아서 필기감이 부드러워요,0
RV-0449,2026-06-12,자사몰,ST03,무아레 아트 엽서세트,4,구성이 알차서 만족이에요,5
RV-0460,2026-06-12,자사몰,FB02,무아레 린넨 테이블러너,5,마감이 꼼꼼하네요,0
RV-0502,2026-06-12,자사몰,ST03,무아레 아트 엽서세트,5,구성이 알차서 만족이에요,12
RV-0004,2026-06-13,자사몰,TW02,무아레 웨이브 머그,1,가격 대비 조금 아쉬워요,2
RV-0014,2026-06-13,자사몰,ST02,무아레 그리드 노트,3,그냥 평범해요,0
RV-0045,2026-06-13,자사몰,TW01,무아레 스톤 머그,5,마감이 깔끔하고 튼튼해요,0
RV-0052,2026-06-13,네이버 스마트스토어,ST06,무아레 데스크 캘린더,1,색이 화면과 살짝 달라요,5
RV-0060,2026-06-13,네이버 스마트스토어,TW02,무아레 웨이브 머그,5,전자레인지도 되고 실용적이에요,0
RV-0097,2026-06-13,자사몰,TW02,무아레 웨이브 머그,5,마감이 깔끔하고 튼튼해요,1
RV-0118,2026-06-13,네이버 스마트스토어,ST01,무아레 데일리 다이어리,5,구성이 알차서 만족이에요,0
RV-0159,2026-06-13,자사몰,FB02,무아레 린넨 테이블러너,3,가격 생각하면 적당한 것 같아요,0
RV-0187,2026-06-13,네이버 스마트스토어,ST05,무아레 실링스티커,4,선물용으로 딱이에요,3
RV-0196,2026-06-13,네이버 스마트스토어,ST02,무아레 그리드 노트,4,선물용으로 딱이에요,0
RV-0222,2026-06-13,자사몰,TW02,무아레 웨이브 머그,3,기대보단 딱 그 정도예요,0
RV-0228,2026-06-13,자사몰,ST06,무아레 데스크 캘린더,4,선물용으로 딱이에요,3
RV-0260,2026-06-13,자사몰,FB03,무아레 워시드 쿠션커버,1,가격 대비 조금 아쉬워요,1
RV-0271,2026-06-13,자사몰,TW04,무아레 웨이브 플레이트 2P,4,묵직하고 질감이 좋아요,0
RV-0278,2026-06-13,자사몰,TW02,무아레 웨이브 머그,4,전자레인지도 되고 실용적이에요,1
RV-0291,2026-06-13,네이버 스마트스토어,FR02,무아레 우드세이지 캔들,5,발향 밸런스가 딱 좋아요,0
RV-0319,2026-06-13,네이버 스마트스토어,FR05,무아레 오션브리즈 디퓨저,1,오션브리즈라는데 향이 너무 약해요,3
RV-0364,2026-06-13,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,5,도톰하고 촉감이 좋아요,0
RV-0388,2026-06-13,자사몰,FB06,무아레 코튼 플레이스매트 2P,5,색이 은은해서 어디든 잘 어울려요,0
RV-0399,2026-06-13,자사몰,FR08,무아레 미니 캔들 3종세트,3,나쁘진 않은데 특별하진 않네요,1
RV-0411,2026-06-13,네이버 스마트스토어,FR04,무아레 화이트무스크 디퓨저,5,집들이 선물했더니 반응 좋았어요,0
RV-0490,2026-06-13,자사몰,TW03,무아레 스톤 플레이트 2P,2,가격 대비 조금 아쉬워요,3
RV-0493,2026-06-13,네이버 스마트스토어,FR07,무아레 디퓨저 리필 200ml,5,무아레 향 시리즈 계속 모으는 중이에요,1
RV-0499,2026-06-13,자사몰,FB02,무아레 린넨 테이블러너,5,도톰하고 촉감이 좋아요,1
RV-0506,2026-06-13,네이버 스마트스토어,ST01,무아레 데일리 다이어리,5,구성이 알차서 만족이에요,0
RV-0520,2026-06-13,네이버 스마트스토어,TW01,무아레 스톤 머그,3,그냥 평범해요,0
RV-0016,2026-06-14,자사몰,FB02,무아레 린넨 테이블러너,3,나쁘진 않은데 특별하진 않네요,1
RV-0024,2026-06-14,자사몰,ST01,무아레 데일리 다이어리,5,구성이 알차서 만족이에요,3
RV-0029,2026-06-14,자사몰,TW07,무아레 세라믹 티팟,4,플레이팅이 살아나서 자주 써요,3
RV-0072,2026-06-14,네이버 스마트스토어,TW02,무아레 웨이브 머그,5,플레이팅이 살아나서 자주 써요,1
RV-0076,2026-06-14,자사몰,FB06,무아레 코튼 플레이스매트 2P,5,생각보다 고급스러워요,0
RV-0088,2026-06-14,네이버 스마트스토어,ST03,무아레 아트 엽서세트,4,가성비 좋아요,0
RV-0141,2026-06-14,자사몰,FR04,무아레 화이트무스크 디퓨저,3,무난해요,8
RV-0143,2026-06-14,네이버 스마트스토어,TW02,무아레 웨이브 머그,5,플레이팅이 살아나서 자주 써요,1
RV-0149,2026-06-14,네이버 스마트스토어,TW01,무아레 스톤 머그,5,선물했더니 좋아하네요,0
RV-0155,2026-06-14,네이버 스마트스토어,FR04,무아레 화이트무스크 디퓨저,1,배송이 생각보다 늦었어요,0
RV-0158,2026-06-14,네이버 스마트스토어,TW05,무아레 스톤 보울,5,플레이팅이 살아나서 자주 써요,0
RV-0173,2026-06-14,자사몰,FR05,무아레 오션브리즈 디퓨저,5,패키지가 고급스러워서 소장각이에요,0
RV-0181,2026-06-14,자사몰,FB03,무아레 워시드 쿠션커버,4,생각보다 고급스러워요,1
RV-0275,2026-06-14,네이버 스마트스토어,FB06,무아레 코튼 플레이스매트 2P,4,도톰하고 촉감이 좋아요,2
RV-0295,2026-06-14,자사몰,FR08,무아레 미니 캔들 3종세트,4,집들이 선물했더니 반응 좋았어요,0
RV-0298,2026-06-14,자사몰,FB05,무아레 웨이브 테이블러너,4,생각보다 고급스러워요,3
RV-0302,2026-06-14,자사몰,TW03,무아레 스톤 플레이트 2P,5,전자레인지도 되고 실용적이에요,1
RV-0310,2026-06-14,자사몰,FR04,무아레 화이트무스크 디퓨저,5,향이 은은하고 오래가서 만족해요,1
RV-0312,2026-06-14,자사몰,FB02,무아레 린넨 테이블러너,5,세탁해도 형태가 잘 유지돼요,1
RV-0328,2026-06-14,자사몰,FB03,무아레 워시드 쿠션커버,2,배송이 생각보다 늦었어요,0
RV-0336,2026-06-14,자사몰,FB02,무아레 린넨 테이블러너,2,색이 화면과 살짝 달라요,2
RV-0359,2026-06-14,네이버 스마트스토어,FB02,무아레 린넨 테이블러너,5,세탁해도 형태가 잘 유지돼요,3
RV-0376,2026-06-14,자사몰,FB05,무아레 웨이브 테이블러너,4,생각보다 고급스러워요,0
RV-0386,2026-06-14,자사몰,FR05,무아레 오션브리즈 디퓨저,5,패키지가 고급스러워서 소장각이에요,2
RV-0468,2026-06-14,네이버 스마트스토어,FR04,무아레 화이트무스크 디퓨저,4,집들이 선물했더니 반응 좋았어요,1
RV-0483,2026-06-14,자사몰,FR03,무아레 시트러스 캔들,2,색이 화면과 살짝 달라요,2
RV-0501,2026-06-14,자사몰,FR03,무아레 시트러스 캔들,2,배송이 생각보다 늦었어요,1
RV-0513,2026-06-14,자사몰,FR06,무아레 리넨 룸스프레이,3,그냥 평범해요,1
RV-0002,2026-06-15,네이버 스마트스토어,ST04,무아레 마스킹테이프 세트,2,색이 화면과 살짝 달라요,0
RV-0041,2026-06-15,자사몰,TW06,무아레 글라스 컵 4P,1,색이 화면과 살짝 달라요,1
RV-0077,2026-06-15,네이버 스마트스토어,FR08,무아레 미니 캔들 3종세트,4,발향 밸런스가 딱 좋아요,5
RV-0094,2026-06-15,네이버 스마트스토어,ST04,무아레 마스킹테이프 세트,5,가성비 좋아요,2
RV-0116,2026-06-15,자사몰,TW05,무아레 스톤 보울,5,전자레인지도 되고 실용적이에요,2
RV-0132,2026-06-15,네이버 스마트스토어,FR03,무아레 시트러스 캔들,5,발향 밸런스가 딱 좋아요,0
RV-0136,2026-06-15,자사몰,TW05,무아레 스톤 보울,4,플레이팅이 살아나서 자주 써요,2
RV-0202,2026-06-15,자사몰,TW03,무아레 스톤 플레이트 2P,4,전자레인지도 되고 실용적이에요,3
RV-0203,2026-06-15,네이버 스마트스토어,ST05,무아레 실링스티커,4,구성이 알차서 만족이에요,5
RV-0208,2026-06-15,네이버 스마트스토어,FR03,무아레 시트러스 캔들,4,패키지가 고급스러워서 소장각이에요,0
RV-0210,2026-06-15,자사몰,TW05,무아레 스톤 보울,4,전자레인지도 되고 실용적이에요,1
RV-0217,2026-06-15,자사몰,FR03,무아레 시트러스 캔들,5,발향 밸런스가 딱 좋아요,0
RV-0233,2026-06-15,네이버 스마트스토어,FR06,무아레 리넨 룸스프레이,1,색이 화면과 살짝 달라요,3
RV-0241,2026-06-15,네이버 스마트스토어,FR01,무아레 화이트무스크 캔들,5,무아레 향 시리즈 계속 모으는 중이에요,1
RV-0272,2026-06-15,자사몰,FR04,무아레 화이트무스크 디퓨저,3,나쁘진 않은데 특별하진 않네요,0
RV-0308,2026-06-15,네이버 스마트스토어,TW04,무아레 웨이브 플레이트 2P,4,묵직하고 질감이 좋아요,5
RV-0313,2026-06-15,자사몰,FR06,무아레 리넨 룸스프레이,5,방에 두니 분위기가 확 살아요,5
RV-0344,2026-06-15,네이버 스마트스토어,FR01,무아레 화이트무스크 캔들,4,무아레 향 시리즈 계속 모으는 중이에요,1
RV-0347,2026-06-15,자사몰,FR04,무아레 화이트무스크 디퓨저,3,그냥 평범해요,3
RV-0348,2026-06-15,네이버 스마트스토어,ST04,무아레 마스킹테이프 세트,5,종이질이 좋아서 필기감이 부드러워요,1
RV-0355,2026-06-15,자사몰,FB05,무아레 웨이브 테이블러너,4,색이 은은해서 어디든 잘 어울려요,3
RV-0392,2026-06-15,자사몰,ST05,무아레 실링스티커,3,무난해요,0
RV-0405,2026-06-15,자사몰,TW03,무아레 스톤 플레이트 2P,5,선물했더니 좋아하네요,0
RV-0409,2026-06-15,자사몰,FR01,무아레 화이트무스크 캔들,5,무아레 향 시리즈 계속 모으는 중이에요,1
RV-0447,2026-06-15,자사몰,ST01,무아레 데일리 다이어리,3,기대보단 딱 그 정도예요,2
RV-0461,2026-06-15,자사몰,TW01,무아레 스톤 머그,5,플레이팅이 살아나서 자주 써요,2
RV-0504,2026-06-15,자사몰,FR06,무아레 리넨 룸스프레이,5,패키지가 고급스러워서 소장각이에요,0
RV-0006,2026-06-16,네이버 스마트스토어,TW04,무아레 웨이브 플레이트 2P,3,무난해요,3
RV-0025,2026-06-16,자사몰,FB04,무아레 린넨 앞치마,5,세탁해도 형태가 잘 유지돼요,0
RV-0038,2026-06-16,네이버 스마트스토어,ST04,무아레 마스킹테이프 세트,5,선물용으로 딱이에요,3
RV-0074,2026-06-16,자사몰,FB02,무아레 린넨 테이블러너,4,생각보다 고급스러워요,0
RV-0082,2026-06-16,자사몰,TW02,무아레 웨이브 머그,5,묵직하고 질감이 좋아요,1
RV-0092,2026-06-16,네이버 스마트스토어,ST03,무아레 아트 엽서세트,5,구성이 알차서 만족이에요,0
RV-0093,2026-06-16,자사몰,FR04,무아레 화이트무스크 디퓨저,5,무아레 향 시리즈 계속 모으는 중이에요,5
RV-0098,2026-06-16,자사몰,FB04,무아레 린넨 앞치마,5,도톰하고 촉감이 좋아요,2
RV-0137,2026-06-16,자사몰,TW04,무아레 웨이브 플레이트 2P,2,교환받았는데 또 한쪽이 깨져 있었어요,0
RV-0147,2026-06-16,자사몰,FB02,무아레 린넨 테이블러너,5,생각보다 고급스러워요,12
RV-0156,2026-06-16,네이버 스마트스토어,FB03,무아레 워시드 쿠션커버,5,세탁해도 형태가 잘 유지돼요,3
RV-0184,2026-06-16,자사몰,TW01,무아레 스톤 머그,5,묵직하고 질감이 좋아요,5
RV-0204,2026-06-16,네이버 스마트스토어,FR05,무아레 오션브리즈 디퓨저,3,나쁘진 않은데 특별하진 않네요,2
RV-0214,2026-06-16,자사몰,TW06,무아레 글라스 컵 4P,5,전자레인지도 되고 실용적이에요,8
RV-0252,2026-06-16,자사몰,FR06,무아레 리넨 룸스프레이,4,방에 두니 분위기가 확 살아요,0
RV-0294,2026-06-16,자사몰,ST03,무아레 아트 엽서세트,5,디자인이 예뻐서 데일리로 써요,0
RV-0299,2026-06-16,자사몰,FB06,무아레 코튼 플레이스매트 2P,3,무난해요,5
RV-0327,2026-06-16,네이버 스마트스토어,TW02,무아레 웨이브 머그,5,묵직하고 질감이 좋아요,0
RV-0329,2026-06-16,자사몰,FR08,무아레 미니 캔들 3종세트,5,향이 은은하고 오래가서 만족해요,1
RV-0331,2026-06-16,자사몰,FB02,무아레 린넨 테이블러너,5,도톰하고 촉감이 좋아요,0
RV-0341,2026-06-16,자사몰,FR03,무아레 시트러스 캔들,4,집들이 선물했더니 반응 좋았어요,5
RV-0345,2026-06-16,네이버 스마트스토어,FR05,무아레 오션브리즈 디퓨저,1,지속력이 아쉬워서 재구매는 고민돼요,0
RV-0395,2026-06-16,자사몰,FR07,무아레 디퓨저 리필 200ml,5,방에 두니 분위기가 확 살아요,3
RV-0396,2026-06-16,네이버 스마트스토어,TW01,무아레 스톤 머그,3,무난해요,0
RV-0400,2026-06-16,자사몰,FB03,무아레 워시드 쿠션커버,5,도톰하고 촉감이 좋아요,0
RV-0442,2026-06-16,자사몰,TW06,무아레 글라스 컵 4P,5,전자레인지도 되고 실용적이에요,0
RV-0489,2026-06-16,네이버 스마트스토어,FB05,무아레 웨이브 테이블러너,1,배송이 생각보다 늦었어요,2
RV-0509,2026-06-16,네이버 스마트스토어,ST05,무아레 실링스티커,4,종이질이 좋아서 필기감이 부드러워요,0
RV-0514,2026-06-16,자사몰,FR08,무아레 미니 캔들 3종세트,4,발향 밸런스가 딱 좋아요,0
RV-0019,2026-06-17,자사몰,TW02,무아레 웨이브 머그,5,선물했더니 좋아하네요,3
RV-0032,2026-06-17,네이버 스마트스토어,FR07,무아레 디퓨저 리필 200ml,4,발향 밸런스가 딱 좋아요,0
RV-0066,2026-06-17,네이버 스마트스토어,ST02,무아레 그리드 노트,4,디자인이 예뻐서 데일리로 써요,8
RV-0068,2026-06-17,네이버 스마트스토어,ST06,무아레 데스크 캘린더,4,종이질이 좋아서 필기감이 부드러워요,1
RV-0106,2026-06-17,네이버 스마트스토어,ST03,무아레 아트 엽서세트,4,종이질이 좋아서 필기감이 부드러워요,1
RV-0112,2026-06-17,자사몰,FB03,무아레 워시드 쿠션커버,5,세탁해도 형태가 잘 유지돼요,2
RV-0124,2026-06-17,네이버 스마트스토어,FR08,무아레 미니 캔들 3종세트,5,방에 두니 분위기가 확 살아요,1
RV-0140,2026-06-17,자사몰,FR06,무아레 리넨 룸스프레이,4,집들이 선물했더니 반응 좋았어요,1
RV-0176,2026-06-17,네이버 스마트스토어,TW02,무아레 웨이브 머그,5,묵직하고 질감이 좋아요,0
RV-0186,2026-06-17,네이버 스마트스토어,FB05,무아레 웨이브 테이블러너,5,색이 은은해서 어디든 잘 어울려요,0
RV-0192,2026-06-17,네이버 스마트스토어,FR04,무아레 화이트무스크 디퓨저,5,집들이 선물했더니 반응 좋았어요,0
RV-0198,2026-06-17,자사몰,FR04,무아레 화이트무스크 디퓨저,4,집들이 선물했더니 반응 좋았어요,2
RV-0211,2026-06-17,자사몰,FR02,무아레 우드세이지 캔들,5,향이 은은하고 오래가서 만족해요,2
